Algorithm: Bellman-Ford
Source: 0
Vertex Distance
0 -1658
1 -1667
2 -1654
3 -1653
4 -1647
5 -1631
6 -1661
7 -1644
8 -1639
9 -1655
10 -1669
11 -1659
12 -1652
13 -1680
14 -1669
15 -1678
16 -1663
17 -1674
18 -1661
19 -1672
20 -1653
21 -1677
22 -1651
23 -1639
24 -1638
25 -1642
26 -1673
27 -1666
28 -1660
29 -1672
30 -1663
31 -1682
32 -1656
33 -1672
34 -1674
35 -1682
36 -1664
37 -1662
38 -1668
39 -1665
40 -1631
41 -1675
42 -1664
43 -1667
44 -1660
45 -1668
46 -1660
47 -1681
48 -1659
49 -1678
50 -1663
51 -1649
52 -1676
53 -1670
54 -1655
55 -1678
56 -1647
57 -1636
58 -1656
59 -1657
60 -1656
61 -1665
62 -1678
63 -1664
64 -1663
65 -1676
66 -1674
67 -1673
68 -1673
69 -1656
70 -1655
71 -1667
72 -1679
73 -1654
74 -1642
75 -1670
76 -1669
77 -1651
78 -1645
79 -1662
80 -1650
81 -1649
82 -1641
83 -1663
84 -1662
85 -1661
86 -1666
87 -1667
88 -1668
89 -1667
90 -1659
91 -1680
92 -1679
93 -1678
94 -1675
95 -1674
96 -1673
97 -1672
98 -1662
99 -1661
Negative cycle: detected
Execution time: 0 ms
