Algorithm: Kruskal's MST

MST edges:
47 80 1
41 46 1
37 76 1
1 2 1
34 76 1
43 94 1
31 35 1
28 86 1
10 89 1
10 36 1
6 63 1
24 65 1
23 51 1
12 25 1
56 69 1
62 85 1
17 93 1
57 89 1
16 63 1
40 61 1
0 35 1
21 91 2
70 83 2
44 66 2
9 55 2
9 75 2
68 94 2
75 77 2
26 88 2
25 51 2
24 98 2
12 40 2
25 87 2
64 88 2
63 80 2
55 82 2
17 96 2
15 38 2
57 75 2
57 83 2
4 29 2
16 24 2
39 76 2
37 64 2
6 52 2
35 41 2
0 56 2
39 49 3
55 56 3
3 88 3
30 31 3
3 15 3
64 65 3
60 93 3
15 35 3
27 91 3
86 99 3
36 91 3
23 88 3
7 61 3
32 73 3
37 72 3
29 64 4
40 85 4
11 25 4
19 85 4
28 98 4
1 60 4
33 69 4
43 48 4
30 45 4
71 75 4
31 58 4
44 63 4
72 84 4
64 78 5
38 54 5
22 54 5
48 78 5
2 77 5
32 34 5
55 74 6
13 22 6
71 79 6
67 68 6
8 66 6
32 42 7
59 97 7
5 91 7
1 92 8
18 59 8
58 95 8
39 59 8
20 21 8
23 53 9
47 81 9
0 90 12
7 14 12
48 50 12

Total MST weight: 345
Execution time: 0 ms

Algorithm: Prim's MST

MST edges:
0 35 1
35 31 1
0 56 2
56 69 1
35 41 2
41 46 1
35 15 3
15 38 2
56 55 3
55 9 2
55 82 2
9 75 2
75 57 2
57 89 1
89 10 1
10 36 1
75 77 2
57 83 2
83 70 2
31 30 3
15 3 3
36 91 3
91 21 2
3 88 3
88 64 2
88 26 2
64 37 2
37 76 1
76 34 1
76 39 2
91 27 3
88 23 3
23 51 1
51 25 2
25 12 1
25 87 2
12 40 2
40 61 1
64 65 3
65 24 1
24 16 2
16 63 1
63 6 1
24 98 2
63 80 2
80 47 1
6 52 2
39 49 3
37 72 3
61 7 3
64 29 4
29 4 2
75 71 4
41 45 4
98 28 4
28 86 1
86 99 3
72 84 4
4 11 4
63 44 4
44 66 2
40 85 4
85 62 1
31 58 4
85 19 4
69 33 4
34 32 5
32 73 3
64 78 5
78 48 5
48 43 4
43 94 1
94 68 2
38 54 5
77 2 5
2 1 1
1 60 4
60 93 3
93 17 1
17 96 2
54 22 5
22 13 6
68 67 6
66 8 6
71 79 6
55 74 6
32 42 7
91 5 7
34 92 8
58 95 8
21 20 8
91 59 8
59 97 7
59 18 8
47 81 9
23 53 9
18 90 12
48 50 12

Total MST weight: 345
Execution time: 0 ms
